idx,gene,growth,start,end,type,RNAP
1,sdiA,Xanthosine growth,-62,-48,activator,-10
3,sdiA,Xanthosine growth,-59,-56,repressor,TF
0,groSL,heat shock,-52,-1,activator,RNAP
0,groSL,Iron supplement,-20,-6,activator,-10
1,groSL,Iron supplement,9,22,activator,-10
0,groSL,M9,23,29,activator,-10
0,groSL,Anaerobic growth,-46,-33,activator,RNAP
1,groSL,Anaerobic growth,-17,-6,activator,RNAP
2,groSL,Anaerobic growth,10,25,activator,-10
0,groSL,phoP,-41,-34,activator,-35
1,groSL,phoP,-17,-1,activator,-10
2,groSL,phoP,8,18,activator,TF
0,groSL,Xylose Arabinose growth,10,22,activator,-10
0,groSL,Xanthosine growth,-39,-14,activator,-35
1,groSL,Xanthosine growth,5,15,activator,TF
1,groSL,Xanthosine growth,15,22,activator,-10
0,idnK,heat shock,-41,-27,activator,-35
0,idnK,Iron supplement,-13,1,activator,-10
1,idnK,Iron supplement,-48,-27,repressor,TF
0,idnK,LB,-43,-30,activator,-35
1,idnK,LB,-14,1,activator,-10
2,idnK,LB,-48,-27,repressor,TF
0,idnK,Anaerobic growth,-45,-36,activator,-35
1,idnK,Anaerobic growth,-24,5,activator,-10
2,idnK,Anaerobic growth,-48,-32,repressor,TF
1,idnK,0cAMP,-38,-33,repressor,TF
0,idnK,Trehalose growth,-44,-36,activator,-35
1,idnK,Trehalose growth,-17,-8,activator,-10
2,idnK,Trehalose growth,-48,-32,repressor,TF
0,idnK,Zinc growth,-13,1,activator,-10
1,idnK,Zinc growth,-48,-32,repressor,TF
0,idnK,Xylose Arabinose growth,-44,-36,activator,-35
1,idnK,Xylose Arabinose growth,-13,1,activator,-10
2,idnK,Xylose Arabinose growth,-48,-27,repressor,TF
0,idnK,Xanthosine growth,-43,-30,activator,-35
1,idnK,Xanthosine growth,-16,-8,activator,-10
2,idnK,Xanthosine growth,-48,-32,repressor,TF
0,yedJ,heat shock,-58,-6,RNAP,
0,yedJ,Iron supplement,-54,-18,activator,RNAP
1,yedJ,LB,-34,-20,activator,-10
0,yedJ,Anaerobic growth,-63,-20,activator,RNAP
1,yedJ,Anaerobic growth,-40,-12,repressor,TF
0,yedJ,Trehalose growth,-54,-45,activator,-35
1,yedJ,Trehalose growth,-34,-20,activator,-10
2,yedJ,Trehalose growth,-31,-12,repressor,-10
0,yedJ,Zinc growth,-63,-17,activator,RNAP
1,yedJ,Zinc growth,-40,-12,repressor,-10
0,yedJ,Xylose Arabinose growth,-54,-17,activator,RNAP
1,yedJ,Xylose Arabinose growth,-40,-23,repressor,-10
0,yedJ,Xanthosine growth,-63,-43,activator,-35
1,yedJ,Xanthosine growth,-34,-20,activator,-10
2,yedJ,Xanthosine growth,-40,-23,repressor,TF
0,yicI,heat shock,-112,-100,activator,TF
1,yicI,heat shock,-39,-16,activator,TF
2,yicI,heat shock,-5,18,activator,-10
0,yicI,Iron supplement,-111,-95,activator,TF
1,yicI,Iron supplement,-65,-57,activator,TF
2,yicI,Iron supplement,-40,-20,activator,TF
2,yicI,Iron supplement,-20,-10,activator,-10
3,yicI,Iron supplement,-5,15,activator,-10
0,yicI,LB,-112,-96,activator,TF
1,yicI,LB,-39,-28,activator,TF
0,yicI,Anaerobic growth,-30,-16,activator,TF
0,yicI,Anaerobic growth,-20,-16,activator,-35
1,yicI,Anaerobic growth,3,7,activator,-10
0,yicI,Trehalose growth,-65,-62,activator,TF
1,yicI,Trehalose growth,-40,-20,activator,TF
1,yicI,Trehalose growth,-20,-16,activator,-35
2,yicI,Trehalose growth,-5,18,activator,-10
0,yicI,Zinc growth,-43,-20,activator,TF
0,yicI,Zinc growth,-20,-16,activator,-35
1,yicI,Zinc growth,-5,7,activator,-10
0,yicI,Xylose Arabinose growth,-30,-20,activator,TF
0,yicI,Xylose Arabinose growth,-20,-16,activator,-35
0,yicI,Xanthosine growth,-30,-20,activator,TF
0,yicI,Xanthosine growth,-20,-16,activator,-35
1,yicI,Xanthosine growth,3,7,activator,-10
0,htrB,LB,-47,-35,activator,-35
1,htrB,LB,-17,-6,activator,-10
0,fdoH,heat shock,-114,-102,activator,-10
0,fdoH,Iron supplement,-114,-102,activator,-10
0,fdoH,LB,-114,-102,activator,-10
0,fdoH,Anaerobic growth,-114,-101,activator,-10
0,fdoH,Trehalose growth,-114,-106,activator,-10
0,fdoH,Zinc growth,-114,-102,activator,-10
0,fdoH,Xylose Arabinose growth,-114,-102,activator,-10
0,fdoH,Xanthosine growth,-114,-102,activator,-10
0,iap,heat shock,-12,-6,activator,-10
0,iap,Iron supplement,-12,3,activator,-10
0,iap,Iron supplement,3,29,activator,TF
0,iap,LB,-12,10,activator,-10
1,iap,LB,-28,-13,repressor,TF
2,iap,LB,22,29,repressor,TF
0,iap,Anaerobic growth,-17,10,activator,-10
1,iap,Anaerobic growth,23,29,activator,TF
0,iap,Zinc growth,-12,10,activator,-10
0,iap,Xylose Arabinose growth,-12,3,activator,-10
0,iap,Xylose Arabinose growth,3,29,activator,TF
0,iap,Xanthosine growth,-17,6,activator,-10
0,ybeZ,heat shock,-38,-11,activator,-35
0,ybeZ,Iron supplement,-7,29,activator,-10
1,ybeZ,Iron supplement,15,29,repressor,TF
0,ybeZ,LB,4,17,activator,-35
1,ybeZ,LB,21,29,activator,-10
2,ybeZ,LB,19,29,repressor,TF
0,ybeZ,Anaerobic growth,3,29,activator,-10
1,ybeZ,Anaerobic growth,15,29,repressor,TF
0,ybeZ,Trehalose growth,3,29,activator,-10
1,ybeZ,Trehalose growth,15,29,repressor,TF
0,ybeZ,Zinc growth,4,9,activator,-35
1,ybeZ,Zinc growth,25,29,activator,-10
2,ybeZ,Zinc growth,27,29,repressor,TF
0,ybeZ,Xylose Arabinose growth,-5,8,activator,-35
1,ybeZ,Xylose Arabinose growth,25,29,activator,-10
0,ybeZ,Xanthosine growth,25,29,activator,-10
1,ybeZ,Xanthosine growth,22,29,repressor,TF
0,araAB,heat shock,-76,-65,activator,TF
0,araAB,arabinose,-76,-56,activator,TF
0,araAB,arabinose,-102,-82,activator,TF
0,araAB,arabinose,-51,-32,activator,TF
0,araAB,Xylose Arabinose growth,-98,-82,activator,TF
0,araAB,Xylose Arabinose growth,-76,-56,activator,TF
0,araAB,Xylose Arabinose growth,-51,-32,activator,TF
1,araAB,Xylose Arabinose growth,-14,-8,activator,-10
0,rlmA,heat shock,-78,-51,activator,-10
0,rlmA,Iron supplement,-9,-4,activator,-10
0,rlmA,LB,-35,-5,activator,-10
0,rlmA,Anaerobic growth,-40,-5,activator,-10
0,rlmA,Trehalose growth,-70,-51,activator,-10
0,rlmA,Xylose Arabinose growth,-70,-51,activator,-10
1,rlmA,Xylose Arabinose growth,-10,-5,activator,-10
0,rlmA,Xanthosine growth,-10,-5,activator,-10
0,hslU,heat shock,-33,5,activator,RNAP
0,mscL,heat shock,-32,6,activator,-10
0,mscL,Iron supplement,-16,-7,activator,-10
0,mscL,LB,-17,-7,activator,-10
0,mscL,M9,-23,-9,activator,-10
0,mscL,Zinc growth,-23,-9,activator,-10
0,mscL,Xylose Arabinose growth,-30,-9,activator,-10
0,mscL,Xanthosine growth,-16,-7,activator,-10
0,zapB,heat shock,-45,-32,activator,-35
1,zapB,heat shock,-14,3,activator,-10
0,zapB,Iron supplement,-51,3,activator,RNAP
0,zapB,LB,-51,-8,activator,RNAP
0,zapB,M9,-39,-32,activator,-35
1,zapB,M9,-14,3,activator,-10
0,zapB,Anaerobic growth,-51,3,activator,RNAP
0,zapB,acetate,-45,3,activator,RNAP
0,zapB,phoP,-40,-32,activator,-35
1,zapB,phoP,-14,-4,activator,-10
0,zapB,0cAMP,-50,1,activator,RNAP
0,zapB,Trehalose growth,-38,-8,activator,RNAP
0,zapB,Zinc growth,-51,-8,activator,RNAP
0,zapB,Xylose Arabinose growth,-38,-8,activator,RNAP
0,zapB,Xanthosine growth,-38,-8,activator,RNAP
1,yqhC,heat shock,0,20,activator,-10
0,yqhC,Iron supplement,2,17,activator,-10
2,yqhC,Iron supplement,0,20,activator,-10
0,yqhC,LB,-43,-26,activator,-35
1,yqhC,LB,-9,5,activator,-10
2,yqhC,LB,9,13,activator,-10
1,yqhC,M9,0,20,activator,-10
0,yqhC,Anaerobic growth,2,16,activator,-10
1,yqhC,Trehalose growth,0,20,activator,-10
1,yqhC,Zinc growth,0,20,activator,-10
1,yqhC,Xylose Arabinose growth,0,20,activator,-10
1,yqhC,Xanthosine growth,0,20,activator,-10
0,ydhO,Zinc growth,7,23,activator,-10
0,yehS,heat shock,-2,5,activator,TF
0,yehS,heat shock,5,12,activator,-10
0,yehS,Iron supplement,-2,5,activator,TF
0,yehS,Iron supplement,5,12,activator,-10
0,yehS,LB,-22,17,activator,RNAP
0,yehS,LB,-2,5,activator,TF
0,yehS,M9,-4,5,activator,TF
0,yehS,M9,5,17,activator,-10
0,yehS,Anaerobic growth,-2,5,activator,TF
0,yehS,Anaerobic growth,-25,17,activator,RNAP
0,yehS,Trehalose growth,-2,5,activator,TF
0,yehS,Trehalose growth,5,12,activator,-10
0,yehS,Zinc growth,-14,17,activator,RNAP
0,yehS,Zinc growth,-2,5,activator,TF
0,yehS,Xylose Arabinose growth,-2,5,activator,TF
0,yehS,Xylose Arabinose growth,-25,17,activator,RNAP
0,yehS,Xanthosine growth,-2,5,activator,TF
0,yehS,Xanthosine growth,-25,12,activator,RNAP
0,dgoR,LB,-57,-50,activator,TF
1,dgoR,LB,-44,-35,repressor,TF
0,asnA,heat shock,-13,3,activator,-10
0,asnA,Iron supplement,-22,1,activator,-10
0,asnA,LB,-22,-5,activator,-10
0,asnA,Anaerobic growth,-13,3,activator,-10
0,asnA,Zinc growth,-22,-5,activator,-10
0,asnA,Xylose Arabinose growth,-22,3,activator,-10
0,asnA,Xanthosine growth,-22,-5,activator,-10
0,rcsF,Iron supplement,-71,-58,activator,TF
1,rcsF,Iron supplement,-36,-28,activator,-35
2,rcsF,Iron supplement,-15,4,activator,-10
0,rcsF,LB,-36,-26,activator,-35
1,rcsF,LB,-15,9,activator,-10
2,rcsF,LB,-24,-11,repressor,-10
0,rcsF,Anaerobic growth,-36,-29,activator,-35
1,rcsF,Anaerobic growth,-14,-3,activator,-10
0,rcsF,Trehalose growth,-63,-58,activator,TF
0,rcsF,Zinc growth,-70,-58,activator,TF
1,rcsF,Zinc growth,-46,-28,activator,-35
2,rcsF,Zinc growth,-14,-2,activator,-10
0,rcsF,Xylose Arabinose growth,-63,-53,activator,TF
1,rcsF,Xylose Arabinose growth,-36,-30,activator,-35
2,rcsF,Xylose Arabinose growth,-15,7,activator,-10
0,rcsF,Xanthosine growth,-71,-53,activator,TF
1,rcsF,Xanthosine growth,-14,-2,activator,-10
0,ybiP,heat shock,-8,1,activator,-10
0,ybiP,Iron supplement,-8,1,activator,-10
0,lac,LB,-114,-90,activator,TF
1,lac,LB,-77,-71,activator,-35
2,lac,LB,-52,-47,activator,-10
0,ompR,M9,-3,23,activator,-10
0,ompR,acetate,-37,-35,activator,-10
2,ompR,acetate,-113,-94,repressor,TF
3,ompR,acetate,-56,-25,repressor,TF
4,ompR,acetate,-1,13,repressor,TF
0,ompR,Xanthosine growth,-1,15,activator,-10
0,bdcR,heat shock,-47,-3,activator,RNAP
1,bdcR,heat shock,-25,1,repressor,TF
0,bdcR,Iron supplement,-47,-1,activator,RNAP
1,bdcR,Iron supplement,-27,-5,repressor,TF
0,bdcR,LB,-35,-7,activator,RNAP
1,bdcR,LB,-27,1,repressor,TF
0,bdcR,M9,-42,-28,activator,-35
1,bdcR,M9,-16,-7,activator,-10
0,bdcR,Anaerobic growth,-47,-7,activator,RNAP
1,bdcR,Anaerobic growth,-27,1,repressor,TF
0,bdcR,deoR,-42,0,activator,RNAP
1,bdcR,deoR,-22,-6,repressor,TF
0,bdcR,Trehalose growth,-47,-7,activator,RNAP
1,bdcR,Trehalose growth,-27,-4,repressor,TF
0,bdcR,Zinc growth,-47,-7,activator,RNAP
1,bdcR,Zinc growth,-27,-5,repressor,TF
0,bdcR,Xylose Arabinose growth,-47,-7,activator,RNAP
1,bdcR,Xylose Arabinose growth,-27,1,repressor,TF
0,bdcR,Xanthosine growth,-47,3,activator,RNAP
1,bdcR,Xanthosine growth,-25,1,repressor,TF
0,yehU,heat shock,-55,-27,activator,-35
0,yehU,LB,-18,-3,activator,-10
0,yehU,Anaerobic growth,-62,-25,activator,TF
0,yehU,Anaerobic growth,-25,7,activator,-10
1,yehU,Zinc growth,-9,-3,activator,-10
0,yehU,Xylose Arabinose growth,-83,-69,activator,-10
1,yehU,Xylose Arabinose growth,-56,-42,activator,-35
2,yehU,Xylose Arabinose growth,-20,-3,activator,-10
0,yehU,Xanthosine growth,-78,-63,activator,-10
1,yehU,Xanthosine growth,-56,-38,activator,-35
2,yehU,Xanthosine growth,-19,-3,activator,-10
0,WaaA-coaD,LB,-50,-39,activator,TF
0,WaaA-coaD,LB,-39,-32,activator,-35
1,WaaA-coaD,LB,-14,2,activator,-10
0,WaaA-coaD,M9,-13,1,activator,-10
0,WaaA-coaD,Anaerobic growth,-44,-39,activator,TF
0,WaaA-coaD,Anaerobic growth,-39,-32,activator,-35
1,WaaA-coaD,Anaerobic growth,-14,5,activator,-10
0,WaaA-coaD,Zinc growth,-50,-39,activator,TF
0,WaaA-coaD,Zinc growth,-39,-32,activator,-35
1,WaaA-coaD,Zinc growth,-13,-1,activator,-10
0,WaaA-coaD,Xylose Arabinose growth,-53,-39,activator,TF
0,WaaA-coaD,Xylose Arabinose growth,-39,-1,activator,RNAP
0,WaaA-coaD,Xanthosine growth,-53,-39,activator,TF
0,WaaA-coaD,Xanthosine growth,-39,-9,activator,RNAP
0,ygdH,heat shock,-44,-8,activator,RNAP
0,ygdH,Iron supplement,-37,-8,activator,RNAP
0,ygdH,LB,-37,-7,activator,RNAP
0,ygdH,Anaerobic growth,-37,-7,activator,RNAP
0,ygdH,Trehalose growth,-37,-7,activator,RNAP
0,ygdH,Zinc growth,-37,-7,activator,RNAP
0,ygdH,Xylose Arabinose growth,-37,-7,activator,RNAP
0,ygdH,Xanthosine growth,-37,-7,activator,RNAP
0,znuA,heat shock,8,19,repressor,TF
0,znuA,Iron supplement,4,29,activator,RNAP
1,znuA,Iron supplement,20,29,repressor,TF
0,znuA,Anaerobic growth,5,29,activator,-10
0,znuA,Trehalose growth,13,28,activator,-10
0,znuA,Zinc growth,8,19,activator,-10
0,znuA,Xylose Arabinose growth,8,29,activator,-10
1,znuA,Xylose Arabinose growth,18,29,repressor,TF
0,znuA,Xanthosine growth,8,29,activator,-10
1,znuA,Xanthosine growth,18,29,repressor,TF
0,uvrD,LB,-15,-8,activator,-10
0,uvrD,acetate,22,29,activator,-10
0,uvrD,acetate,6,14,repressor,TF
0,uvrD,0cAMP,-43,-29,activator,-35
1,uvrD,0cAMP,-13,-8,activator,-10
0,uvrD,Xanthosine growth,-15,-8,activator,-10
0,modE,LB,-25,-11,activator,-10
0,modE,Anaerobic growth,-37,-19,activator,-35
0,modE,Xylose Arabinose growth,-35,-19,activator,-35
0,ygjP,heat shock,-28,-12,activator,-10
0,ygjP,Iron supplement,-33,-19,activator,-35
0,ygjP,LB,-61,-12,activator,RNAP
0,ygjP,M9,-27,-12,activator,-10
0,ygjP,Anaerobic growth,-61,-46,activator,TF
1,ygjP,Anaerobic growth,-28,-19,activator,-35
0,ygjP,Zinc growth,-28,-19,activator,-35
0,ygjP,Xylose Arabinose growth,-61,-46,activator,TF
1,ygjP,Xylose Arabinose growth,-28,-19,activator,-35
0,ygjP,Xanthosine growth,-50,-19,activator,-35
0,yggW,heat shock,-36,-30,activator,-35
1,yggW,heat shock,-16,1,activator,-10
0,tig,heat shock,-36,-7,activator,RNAP
2,tig,heat shock,-15,1,repressor,TF
0,tig,Iron supplement,-36,-30,activator,-35
1,tig,Iron supplement,-14,-6,activator,-10
0,tig,LB,-36,-6,activator,RNAP
0,tig,Anaerobic growth,-36,-6,activator,RNAP
0,tig,phoP,-36,-6,activator,RNAP
0,tig,Trehalose growth,-36,-31,activator,-35
1,tig,Trehalose growth,-14,-7,activator,-10
0,tig,Zinc growth,-36,-6,activator,RNAP
0,tig,Xylose Arabinose growth,-36,-6,activator,RNAP
0,tig,Xanthosine growth,-36,-6,activator,RNAP
0,dicC,heat shock,-35,-30,activator,-35
1,dicC,heat shock,-12,-6,activator,-10
2,dicC,heat shock,-6,10,repressor,TF
0,dicC,Iron supplement,-45,-30,activator,-35
1,dicC,Iron supplement,-12,-6,activator,-10
2,dicC,Iron supplement,-13,10,repressor,TF
0,dicC,LB,-41,-30,activator,-35
1,dicC,LB,-12,-6,activator,-10
0,dicC,Anaerobic growth,-36,-30,activator,-35
1,dicC,Anaerobic growth,-12,-6,activator,-10
0,dicC,acetate,-48,-28,activator,-35
1,dicC,acetate,-12,-6,activator,-10
2,dicC,acetate,-13,10,repressor,TF
0,dicC,Trehalose growth,-35,-30,activator,-35
1,dicC,Trehalose growth,-12,-6,activator,-10
2,dicC,Trehalose growth,-6,10,repressor,TF
0,dicC,Zinc growth,-45,-30,activator,-35
1,dicC,Zinc growth,-12,-6,activator,-10
2,dicC,Zinc growth,-6,8,repressor,TF
0,dicC,Xylose Arabinose growth,-45,-30,activator,-35
1,dicC,Xylose Arabinose growth,-12,-6,activator,-10
2,dicC,Xylose Arabinose growth,-13,10,repressor,TF
0,dicC,Xanthosine growth,-43,-28,activator,-35
1,dicC,Xanthosine growth,-12,-6,activator,-10
2,dicC,Xanthosine growth,-5,10,repressor,TF
0,ydjA,heat shock,-37,-9,activator,RNAP
1,ydjA,heat shock,-21,1,repressor,TF
0,ydjA,Iron supplement,-39,-36,activator,-35
1,ydjA,Iron supplement,-20,-9,activator,-10
2,ydjA,Iron supplement,-11,5,repressor,TF
0,ydjA,LB,-49,-9,activator,RNAP
1,ydjA,LB,-21,-3,repressor,TF
0,ydjA,Anaerobic growth,-24,-9,activator,-10
1,ydjA,Anaerobic growth,-11,1,repressor,TF
0,ydjA,Trehalose growth,-24,-9,activator,-10
1,ydjA,Trehalose growth,-10,1,repressor,TF
0,ydjA,Zinc growth,-29,-9,activator,RNAP
1,ydjA,Zinc growth,-10,-3,repressor,TF
0,ydjA,Xylose Arabinose growth,-37,-34,activator,-35
1,ydjA,Xylose Arabinose growth,-20,-9,activator,-10
2,ydjA,Xylose Arabinose growth,-21,1,repressor,TF
0,ydjA,Xanthosine growth,-37,-9,activator,RNAP
1,ydjA,Xanthosine growth,-21,1,repressor,TF
0,ybjT,heat shock,-36,-25,activator,-35
0,ybjT,Iron supplement,-36,-30,activator,-35
1,ybjT,Iron supplement,-18,-9,activator,-10
0,ybjT,LB,-36,-30,activator,-35
1,ybjT,LB,-18,-9,activator,-10
0,ybjT,Anaerobic growth,-43,-9,activator,RNAP
0,ybjT,Zinc growth,-36,-28,activator,-35
1,ybjT,Zinc growth,-18,-9,activator,-10
0,ybjT,Xylose Arabinose growth,-36,-9,activator,RNAP
0,ybjT,Xanthosine growth,-36,-30,activator,-35
1,ybjT,Xanthosine growth,-18,-9,activator,-10
0,zupT,heat shock,-23,-13,activator,-10
0,zupT,Iron supplement,-23,-13,activator,-10
0,zupT,LB,-23,-3,activator,-10
0,zupT,Anaerobic growth,-23,-2,activator,-10
0,zupT,acetate,-23,-14,activator,-10
0,zupT,0cAMP,-23,-3,activator,-10
0,zupT,Zinc growth,-23,-13,activator,-10
0,zupT,Xylose Arabinose growth,-23,-14,activator,-10
0,zupT,Xanthosine growth,-23,-13,activator,-10
0,yedK,heat shock,4,20,activator,-10
1,yedK,heat shock,-11,25,repressor,TF
0,yedK,Iron supplement,-3,27,activator,-10
1,yedK,Iron supplement,-11,1,repressor,TF
2,yedK,Iron supplement,12,17,repressor,TF
0,yedK,LB,7,27,activator,-10
0,yedK,M9,-11,-4,activator,-35
1,yedK,M9,11,25,activator,-10
2,yedK,M9,4,21,repressor,TF
0,yedK,Anaerobic growth,-22,-10,activator,-35
1,yedK,Anaerobic growth,7,27,activator,-10
0,yedK,deoR,10,23,activator,-10
1,yedK,deoR,12,25,repressor,TF
0,yedK,Trehalose growth,-14,25,activator,-10
1,yedK,Trehalose growth,-3,27,repressor,TF
0,yedK,Zinc growth,-14,24,activator,-10
1,yedK,Zinc growth,-3,27,repressor,TF
0,yedK,Xylose Arabinose growth,4,27,activator,-10
1,yedK,Xylose Arabinose growth,-14,17,repressor,TF
0,thrLABC,heat shock,-57,-41,activator,TF
0,thrLABC,heat shock,-41,-3,activator,RNAP
0,thrLABC,Iron supplement,-46,-7,activator,RNAP
0,thrLABC,LB,-46,-5,activator,RNAP
0,thrLABC,Anaerobic growth,-57,-41,activator,TF
0,thrLABC,Anaerobic growth,-41,0,activator,RNAP
0,thrLABC,Trehalose growth,-57,-41,activator,TF
0,thrLABC,Trehalose growth,-41,0,activator,RNAP
0,thrLABC,Zinc growth,-52,-41,activator,TF
0,thrLABC,Zinc growth,-41,-8,activator,RNAP
0,thrLABC,Xylose Arabinose growth,-52,-41,activator,TF
0,thrLABC,Xylose Arabinose growth,-41,-7,activator,RNAP
0,thrLABC,Xanthosine growth,-52,-41,activator,TF
0,thrLABC,Xanthosine growth,-41,0,activator,RNAP
0,cra,heat shock,-12,-4,activator,-10
0,cra,Iron supplement,-15,-8,activator,-10
0,cra,LB,-18,-5,activator,-10
0,cra,Anaerobic growth,-18,-8,activator,-10
0,cra,acetate,-19,-9,activator,-10
0,cra,0cAMP,-12,1,activator,-10
0,cra,Trehalose growth,-21,-8,activator,-10
0,cra,Zinc growth,-18,-8,activator,-10
0,cra,Xylose Arabinose growth,-18,-8,activator,-10
0,cra,Xanthosine growth,-18,-8,activator,-10
0,sbcB,heat shock,-13,-5,activator,-10
0,sbcB,LB,-23,1,activator,-10
0,sbcB,Trehalose growth,-13,-5,activator,-10
0,sbcB,Xylose Arabinose growth,-12,1,activator,-10
0,sbcB,Xanthosine growth,-13,-1,activator,-10
0,mscM,heat shock,24,29,activator,-10
0,mscM,Iron supplement,-36,-26,activator,-35
2,mscM,Iron supplement,20,29,repressor,TF
0,mscM,Trehalose growth,20,29,repressor,TF
0,mscM,Zinc growth,20,29,repressor,TF
0,mscM,Xylose Arabinose growth,20,29,repressor,TF
0,pcm,LB,-45,-23,activator,-35
1,pcm,LB,-17,-7,activator,-10
2,pcm,LB,-15,-10,repressor,TF
1,pcm,Anaerobic growth,-46,-27,activator,-35
2,pcm,Anaerobic growth,-16,-2,activator,-10
3,pcm,Anaerobic growth,16,28,activator,-10
4,pcm,Anaerobic growth,-60,-34,repressor,TF
0,pcm,Xylose Arabinose growth,-17,-7,activator,-10
0,rspA,heat shock,-28,0,repressor,TF
0,rspA,Iron supplement,-57,-18,activator,TF
1,rspA,Iron supplement,1,17,activator,RNAP
2,rspA,Iron supplement,-28,2,repressor,TF
0,rspA,arabinose,-57,-18,activator,TF
1,rspA,arabinose,-5,9,activator,-10
2,rspA,arabinose,-17,2,repressor,TF
0,rspA,LB,-56,-19,activator,TF
1,rspA,LB,-5,17,activator,-10
2,rspA,LB,-28,2,repressor,TF
0,rspA,Anaerobic growth,-57,-18,activator,TF
0,rspA,Anaerobic growth,-18,7,activator,RNAP
1,rspA,Anaerobic growth,-17,2,repressor,TF
0,rspA,Trehalose growth,-57,-18,activator,TF
0,rspA,Trehalose growth,-18,12,activator,RNAP
1,rspA,Trehalose growth,-17,0,repressor,TF
0,rspA,Zinc growth,-56,-18,activator,TF
1,rspA,Zinc growth,-6,7,activator,RNAP
2,rspA,Zinc growth,-17,2,repressor,TF
0,rspA,Xylose Arabinose growth,-56,-18,activator,TF
0,rspA,Xylose Arabinose growth,-18,17,activator,RNAP
1,rspA,Xylose Arabinose growth,-17,0,repressor,TF
0,rspA,Xanthosine growth,-56,-19,activator,TF
1,rspA,Xanthosine growth,-6,7,activator,RNAP
2,rspA,Xanthosine growth,-17,0,repressor,TF
0,ilvC,heat shock,-35,0,repressor,TF
0,ilvC,Iron supplement,-75,-28,activator,TF
1,ilvC,Iron supplement,-17,4,activator,-10
2,ilvC,Iron supplement,-30,0,repressor,TF
0,ilvC,LB,-33,0,repressor,TF
0,ilvC,M9,-33,-11,activator,-10
0,ilvC,Anaerobic growth,-24,0,repressor,TF
0,ilvC,Zinc growth,-64,-28,activator,TF
1,ilvC,Zinc growth,-17,-4,activator,-10
2,ilvC,Zinc growth,-30,0,repressor,TF
0,ilvC,Xylose Arabinose growth,-56,-28,activator,TF
1,ilvC,Xylose Arabinose growth,-17,2,activator,-10
2,ilvC,Xylose Arabinose growth,-30,0,repressor,TF
0,ilvC,Xanthosine growth,-64,-52,activator,TF
1,ilvC,Xanthosine growth,-42,-28,activator,-35
2,ilvC,Xanthosine growth,-17,2,activator,-10
3,ilvC,Xanthosine growth,-30,0,repressor,TF
0,araC,heat shock,-66,-38,activator,RNAP
1,araC,heat shock,-40,-31,repressor,TF
0,araC,Iron supplement,-66,-24,activator,RNAP
0,araC,arabinose,-66,-24,activator,RNAP
1,araC,arabinose,-47,-27,repressor,TF
0,araC,LB,-66,-24,activator,RNAP
1,araC,LB,-16,-7,activator,-10
2,araC,LB,-40,-31,repressor,TF
0,araC,Anaerobic growth,-84,-24,activator,RNAP
1,araC,Anaerobic growth,-40,-31,repressor,TF
0,araC,0cAMP,-114,-98,activator,TF
1,araC,0cAMP,-51,-32,activator,RNAP
0,araC,Trehalose growth,-66,-24,activator,RNAP
1,araC,Trehalose growth,-40,-31,repressor,TF
